date,vix,vix_3m,put_call_ratio
2025-04-30,25.84,29.87,0.771
2025-05-02,25.82,30.46,0.83
2025-05-05,25.86,29.84,1.078
2025-05-05,24.67,28.62,1.031
2025-05-05,24.93,28.79,0.994
2025-05-06,24.13,25.43,0.598
2025-05-08,23.33,26.21,0.573
2025-05-09,22.68,26.72,0.82
2025-05-12,23.2,25.29,0.755
2025-05-12,22.67,24.49,0.853
2025-05-13,22.7,23.84,0.994
2025-05-14,23.01,24.55,0.81
2025-05-15,22.46,26.05,0.587
2025-05-16,22.23,25.04,0.873
2025-05-19,23.28,27.01,0.747
2025-05-19,24.4,26.81,0.616
2025-05-20,24.94,26.51,0.807
2025-05-21,24.57,26.3,0.912
2025-05-22,25.69,30.18,0.783
2025-05-23,25.14,29.56,0.79
2025-05-26,24.26,27.96,0.591
2025-05-26,24.23,25.99,1.008
2025-05-27,23.59,25.16,1.022
2025-05-28,23.14,27.15,0.56
2025-05-30,20.96,24.64,1.093
2025-06-02,21.91,25.63,0.883
2025-06-02,22.32,25.08,0.833
2025-06-02,22.57,25.88,0.824
2025-06-03,22.58,24.2,1.19
2025-06-05,22.67,25.89,0.816
2025-06-06,21.43,23.75,0.658
2025-06-09,21.24,22.49,0.941
2025-06-09,21.1,22.16,0.907
2025-06-10,20.0,23.52,0.978
2025-06-11,20.61,22.65,0.757
2025-06-12,20.15,22.41,0.834
2025-06-13,20.82,23.72,0.719
2025-06-16,20.87,24.2,0.89
2025-06-16,20.55,24.12,0.951
2025-06-17,20.88,22.95,0.883
2025-06-18,20.65,24.1,0.7
2025-06-19,21.44,24.22,0.939
2025-06-20,21.1,24.74,0.853
2025-06-23,21.83,23.37,1.067
2025-06-23,22.12,23.78,0.898
2025-06-24,21.55,24.67,0.668
2025-06-25,21.35,23.08,0.947
2025-06-27,22.21,25.74,0.898
2025-06-30,22.48,24.85,0.943
2025-06-30,21.99,24.8,1.02
2025-06-30,21.89,23.47,0.876
2025-07-01,21.65,25.11,0.898
2025-07-03,21.22,23.63,0.963
2025-07-04,20.91,23.43,0.806
2025-07-07,21.45,23.55,1.079
2025-07-07,20.72,23.01,0.881
2025-07-08,20.7,21.9,0.944
2025-07-09,20.6,21.86,0.672
2025-07-10,19.93,23.44,0.975
2025-07-11,18.97,22.0,0.769
2025-07-14,19.26,21.56,0.736
2025-07-14,19.79,23.05,0.749
2025-07-15,19.38,22.62,0.857
2025-07-16,19.09,22.28,0.712
2025-07-17,19.39,21.93,0.678
2025-07-18,20.29,21.77,0.988
2025-07-21,22.32,25.78,0.819
2025-07-21,22.74,26.8,0.94
2025-07-22,20.03,22.67,1.013
2025-07-23,20.24,23.65,0.77
2025-07-25,20.39,22.44,0.827
2025-07-28,19.71,21.41,0.914
2025-07-28,18.05,20.8,0.913
2025-07-28,17.31,19.12,0.748
2025-07-29,16.9,19.04,0.885
2025-07-31,17.0,19.89,0.566
2025-08-01,16.64,18.1,0.829
2025-08-04,15.93,17.57,0.826
2025-08-04,15.26,17.23,0.943
2025-08-04,15.93,17.02,0.872
2025-08-06,14.99,15.82,0.734
2025-08-07,15.59,16.85,0.781
2025-08-08,15.57,18.17,0.58
2025-08-11,17.07,18.59,0.878
2025-08-11,16.87,19.25,0.987
2025-08-12,18.18,19.41,0.99
2025-08-13,18.98,21.97,0.829
2025-08-14,18.81,21.33,0.974
2025-08-15,18.95,21.93,0.926
2025-08-18,18.8,21.86,0.648
2025-08-18,19.15,20.5,0.72
2025-08-19,18.71,19.98,0.982
2025-08-20,19.62,20.68,0.652
2025-08-22,20.06,23.24,1.062
2025-08-25,19.95,23.33,0.983
2025-08-25,19.67,22.76,0.758
2025-08-25,18.43,19.65,0.845
2025-08-26,19.13,21.57,0.872
2025-08-28,19.76,22.26,1.068
2025-08-29,19.38,22.6,0.908
2025-09-01,19.28,20.96,0.667
2025-09-01,18.83,21.18,0.897
2025-09-01,20.3,23.02,0.798
2025-09-03,19.9,21.96,0.765
2025-09-04,21.18,24.35,0.876
2025-09-05,22.79,25.85,0.865
2025-09-08,22.52,24.38,0.841
2025-09-08,22.56,26.53,0.754
2025-09-09,21.85,24.01,0.752
2025-09-10,21.33,23.69,0.924
2025-09-11,20.52,22.61,0.649
2025-09-12,21.16,24.04,0.936
2025-09-15,21.44,24.32,0.753
2025-09-15,20.76,22.09,0.786
2025-09-16,22.83,25.87,0.99
2025-09-17,23.03,26.31,0.779
2025-09-19,23.35,24.98,0.787
2025-09-22,23.31,26.91,0.594
2025-09-22,23.44,26.63,0.696
2025-09-22,22.69,25.75,0.676
2025-09-23,23.11,25.53,0.849
2025-09-25,22.74,25.97,0.871
2025-09-26,22.08,25.27,0.816
2025-09-29,22.07,25.43,0.996
2025-09-29,22.89,25.54,0.751
2025-09-29,23.55,27.41,0.66
2025-10-01,23.48,25.04,0.899
2025-10-02,23.18,26.64,1.068
2025-10-03,23.46,25.66,1.015
2025-10-06,23.88,27.38,0.91
2025-10-06,23.15,25.3,1.048
2025-10-07,22.89,26.57,0.95
2025-10-08,21.11,23.77,0.894
2025-10-09,21.25,24.77,0.834
2025-10-10,19.48,21.42,0.849
2025-10-13,19.3,22.41,0.888
2025-10-13,19.55,21.57,0.911
2025-10-14,17.87,19.82,0.74
2025-10-15,17.3,19.91,1.024
2025-10-16,16.13,17.31,0.863
2025-10-20,16.08,17.45,0.841
2025-10-20,16.11,18.51,0.777
2025-10-20,14.75,15.65,0.863
2025-10-21,13.93,15.36,0.738
2025-10-23,14.76,15.57,0.824
2025-10-24,15.04,15.82,0.96
2025-10-27,14.4,15.48,1.054
2025-10-27,13.95,15.1,0.699
2025-10-27,13.75,14.67,0.747
2025-10-29,13.02,13.96,0.957
2025-10-30,13.41,14.59,0.76
2025-10-31,13.34,14.59,0.69
2025-11-03,15.42,16.87,0.595
2025-11-03,16.04,17.24,0.784
2025-11-04,17.73,19.55,0.764
2025-11-05,17.85,19.05,1.042
2025-11-06,17.69,18.96,0.691
2025-11-07,16.85,17.78,0.979
2025-11-10,17.26,19.33,0.785
2025-11-10,19.69,22.37,0.967
2025-11-11,19.48,22.2,0.83
2025-11-12,18.69,20.96,0.909
2025-11-13,18.15,20.7,0.861
2025-11-17,17.62,20.01,0.776
2025-11-17,17.23,19.45,0.769
2025-11-17,18.17,19.32,1.022
2025-11-18,18.02,19.18,0.791
2025-11-20,18.37,19.76,0.899
2025-11-21,18.21,19.59,0.996
2025-11-24,17.94,18.93,0.754
2025-11-24,17.33,20.29,0.852
2025-11-24,17.25,19.62,0.858
2025-11-26,18.47,21.0,0.724
2025-11-27,18.59,20.76,0.892
2025-11-28,18.44,19.98,0.795
2025-12-01,18.64,20.29,1.207
2025-12-01,18.19,19.52,0.862
2025-12-02,18.76,21.65,0.874
2025-12-03,18.16,19.29,1.031
2025-12-04,18.1,21.01,0.813
2025-12-05,17.77,19.49,0.787
2025-12-08,16.67,19.41,0.914
2025-12-08,17.87,19.19,0.972
2025-12-09,16.14,17.51,1.029
2025-12-10,14.94,17.25,1.004
2025-12-11,14.11,15.03,0.678
2025-12-15,14.07,16.49,0.811
2025-12-15,14.56,16.4,0.955
2025-12-15,14.97,16.08,0.679
2025-12-16,14.44,15.22,0.928
2025-12-18,13.86,16.31,0.64
2025-12-19,15.14,16.12,1.048
2025-12-22,14.94,16.2,0.869
2025-12-22,14.47,16.46,1.022
2025-12-22,14.61,16.42,0.694
2025-12-24,15.82,17.3,0.825
2025-12-25,14.58,15.49,0.823
2025-12-26,14.28,15.64,0.773
2025-12-29,13.97,16.19,0.744
2025-12-29,11.79,12.47,0.722
2025-12-30,11.61,13.47,0.795
2025-12-31,12.69,13.45,0.656
2026-01-01,12.18,14.32,0.855
2026-01-02,12.81,14.53,0.877
2026-01-05,12.41,13.77,0.9
2026-01-05,12.77,14.84,0.726
2026-01-06,12.47,13.9,0.87
2026-01-07,12.34,13.62,0.804
2026-01-08,12.42,13.19,0.849
2026-01-12,11.63,12.67,0.748
2026-01-12,11.19,12.73,0.846
2026-01-12,12.04,12.73,0.815
2026-01-13,12.29,13.8,0.98
2026-01-15,11.72,13.3,0.757
2026-01-16,11.74,13.48,0.792
2026-01-19,11.97,13.86,0.958
2026-01-19,12.72,14.22,0.828
2026-01-19,12.72,13.63,0.815
2026-01-21,13.61,15.56,0.997
2026-01-22,14.51,15.59,0.953
2026-01-23,15.26,16.93,0.799
2026-01-26,15.51,16.5,0.663
2026-01-26,13.93,16.14,0.99
2026-01-27,12.8,14.19,0.741
2026-01-28,11.78,12.58,0.598
2026-01-29,10.9,11.51,0.851
2026-01-30,12.43,13.83,0.759
2026-02-02,10.71,11.49,0.836
2026-02-02,10,10.67,0.758
2026-02-03,10,11.65,0.956
2026-02-04,10,11.77,0.847
2026-02-05,11.32,12.29,0.747
2026-02-09,13.51,14.98,0.778
2026-02-09,14.11,16.09,0.942
2026-02-09,14.13,16.12,0.749
2026-02-10,14.97,17.53,0.705
