date,us_10y,us_2y,us_2s10s,hy_spread,real_yield
2025-07-14,4.394,4.175,0.218,325.0,2.011
2025-07-15,4.439,4.185,0.254,336.4,2.29
2025-07-16,4.422,4.169,0.253,301.9,2.115
2025-07-17,4.449,4.157,0.292,324.7,2.234
2025-07-18,4.437,4.157,0.28,313.3,2.02
2025-07-21,4.397,4.158,0.239,318.8,1.948
2025-07-21,4.412,4.123,0.289,303.1,2.212
2025-07-22,4.401,4.117,0.284,322.5,2.033
2025-07-23,4.372,4.086,0.286,324.1,2.108
2025-07-25,4.37,4.074,0.296,320.5,1.921
2025-07-28,4.337,4.053,0.284,326.8,1.88
2025-07-28,4.333,4.032,0.301,305.4,2.007
2025-07-28,4.309,4.063,0.246,340.0,1.986
2025-07-29,4.319,4.058,0.261,330.2,2.019
2025-07-31,4.321,4.076,0.245,325.8,1.808
2025-08-01,4.289,4.065,0.224,313.4,1.905
2025-08-04,4.28,4.071,0.209,311.0,1.99
2025-08-04,4.327,4.093,0.234,305.2,1.991
2025-08-04,4.344,4.082,0.262,311.2,1.978
2025-08-06,4.346,4.087,0.259,318.5,1.813
2025-08-07,4.328,4.076,0.251,323.7,1.955
2025-08-08,4.301,4.093,0.208,307.7,2.0
2025-08-11,4.295,4.078,0.217,328.2,2.23
2025-08-11,4.281,4.062,0.22,325.9,1.826
2025-08-12,4.298,4.079,0.219,300.9,1.982
2025-08-13,4.271,4.07,0.201,320.5,1.962
2025-08-14,4.3,4.037,0.263,311.6,2.148
2025-08-15,4.268,4.05,0.218,319.5,1.812
2025-08-18,4.293,4.048,0.245,310.1,1.894
2025-08-18,4.28,4.027,0.253,308.5,1.968
2025-08-19,4.306,4.025,0.282,327.2,1.997
2025-08-20,4.298,4.063,0.236,331.8,1.979
2025-08-22,4.282,4.035,0.247,320.2,2.008
2025-08-25,4.292,4.037,0.256,320.3,1.878
2025-08-25,4.299,4.023,0.277,310.4,1.941
2025-08-25,4.279,4.031,0.248,322.1,1.983
2025-08-26,4.264,4.001,0.263,307.2,2.126
2025-08-28,4.266,3.992,0.274,308.6,1.878
2025-08-29,4.269,3.99,0.279,320.2,1.866
2025-09-01,4.238,3.998,0.24,301.1,2.018
2025-09-01,4.26,4.006,0.254,320.7,1.942
2025-09-01,4.29,3.98,0.31,312.7,1.985
2025-09-03,4.331,3.993,0.338,323.2,2.107
2025-09-04,4.376,3.997,0.378,306.7,1.841
2025-09-05,4.346,3.982,0.364,312.6,2.144
2025-09-08,4.356,3.983,0.373,315.2,1.867
2025-09-08,4.322,4.001,0.321,307.5,1.876
2025-09-09,4.36,4.032,0.328,312.4,2.177
2025-09-10,4.366,4.028,0.338,299.6,1.992
2025-09-11,4.346,4.046,0.301,321.2,2.074
2025-09-12,4.346,4.038,0.308,309.6,1.736
2025-09-15,4.327,4.035,0.292,321.0,2.065
2025-09-15,4.314,4.011,0.303,322.4,1.943
2025-09-16,4.323,3.985,0.339,316.6,1.995
2025-09-17,4.316,3.961,0.355,312.0,2.103
2025-09-19,4.317,3.959,0.358,309.5,1.929
2025-09-22,4.316,3.964,0.351,315.3,1.915
2025-09-22,4.296,3.956,0.34,319.2,1.981
2025-09-22,4.319,3.965,0.354,308.0,1.931
2025-09-23,4.313,3.976,0.337,326.2,1.904
2025-09-25,4.359,3.95,0.409,306.8,2.085
2025-09-26,4.35,3.952,0.397,308.0,1.939
2025-09-29,4.368,3.956,0.413,302.6,2.014
2025-09-29,4.38,3.958,0.422,310.8,1.94
2025-09-29,4.368,3.949,0.418,315.6,2.015
2025-10-01,4.383,3.942,0.441,299.6,2.207
2025-10-02,4.373,3.951,0.422,316.2,2.254
2025-10-03,4.382,3.947,0.435,301.3,1.863
2025-10-06,4.385,3.956,0.429,330.0,2.143
2025-10-06,4.375,3.975,0.4,298.8,2.068
2025-10-07,4.375,3.986,0.389,312.3,2.166
2025-10-08,4.392,3.994,0.398,300.4,2.161
2025-10-09,4.38,3.973,0.407,317.1,2.112
2025-10-10,4.372,3.953,0.419,305.3,1.924
2025-10-13,4.385,3.926,0.46,300.3,2.022
2025-10-13,4.373,3.914,0.459,301.1,2.206
2025-10-14,4.373,3.906,0.468,316.9,2.08
2025-10-15,4.352,3.913,0.439,318.3,2.126
2025-10-16,4.317,3.903,0.414,296.6,1.853
2025-10-20,4.288,3.895,0.393,318.9,1.901
2025-10-20,4.278,3.881,0.397,305.5,2.002
2025-10-20,4.308,3.876,0.431,295.9,1.909
2025-10-21,4.328,3.87,0.457,312.7,2.023
2025-10-23,4.302,3.867,0.436,297.2,2.066
2025-10-24,4.283,3.869,0.414,307.6,2.115
2025-10-27,4.264,3.867,0.398,309.6,1.957
2025-10-27,4.22,3.884,0.337,319.9,1.762
2025-10-27,4.232,3.891,0.341,300.2,1.913
2025-10-29,4.21,3.89,0.321,293.8,1.852
2025-10-30,4.204,3.898,0.306,306.5,1.95
2025-10-31,4.223,3.877,0.345,302.7,1.976
2025-11-03,4.238,3.873,0.365,306.8,1.886
2025-11-03,4.192,3.857,0.335,305.4,1.791
2025-11-04,4.205,3.874,0.331,302.4,1.895
2025-11-05,4.196,3.864,0.332,297.4,1.95
2025-11-06,4.193,3.851,0.342,304.0,2.075
2025-11-07,4.203,3.851,0.352,307.2,1.95
2025-11-10,4.194,3.863,0.331,302.1,1.696
2025-11-10,4.167,3.857,0.311,294.2,1.946
2025-11-11,4.153,3.847,0.307,309.2,1.968
2025-11-12,4.168,3.822,0.345,299.5,1.736
2025-11-13,4.179,3.824,0.355,307.6,1.821
2025-11-17,4.193,3.843,0.35,294.0,1.9
2025-11-17,4.207,3.851,0.356,306.6,1.776
2025-11-17,4.197,3.828,0.37,312.1,1.898
2025-11-18,4.188,3.825,0.362,298.2,1.787
2025-11-20,4.207,3.827,0.379,305.8,1.903
2025-11-21,4.228,3.789,0.439,291.9,1.932
2025-11-24,4.22,3.773,0.447,306.0,2.018
2025-11-24,4.225,3.773,0.452,301.3,2.008
2025-11-24,4.221,3.79,0.432,305.0,1.825
2025-11-26,4.22,3.762,0.458,296.7,1.935
2025-11-27,4.247,3.777,0.47,303.6,2.032
2025-11-28,4.249,3.771,0.478,298.1,2.073
2025-12-01,4.258,3.769,0.49,306.2,2.104
2025-12-01,4.235,3.821,0.414,292.6,1.907
2025-12-02,4.244,3.803,0.441,313.2,1.951
2025-12-03,4.247,3.828,0.419,292.9,1.996
2025-12-04,4.24,3.804,0.436,301.2,1.893
2025-12-05,4.243,3.811,0.433,305.7,1.91
2025-12-08,4.238,3.826,0.412,293.0,1.799
2025-12-08,4.234,3.834,0.4,313.0,2.161
2025-12-09,4.231,3.824,0.406,311.8,1.971
2025-12-10,4.285,3.798,0.487,300.7,2.024
2025-12-11,4.294,3.786,0.508,294.1,2.176
2025-12-15,4.295,3.761,0.534,287.0,1.986
2025-12-15,4.291,3.774,0.517,286.5,1.949
2025-12-15,4.296,3.767,0.53,290.7,2.004
2025-12-16,4.313,3.758,0.554,303.6,2.04
2025-12-18,4.345,3.756,0.589,295.3,2.206
2025-12-19,4.314,3.759,0.555,294.6,1.986
2025-12-22,4.299,3.754,0.544,291.3,1.969
2025-12-22,4.293,3.78,0.513,290.5,1.881
2025-12-22,4.27,3.77,0.501,289.1,1.844
2025-12-24,4.278,3.769,0.509,297.5,2.086
2025-12-25,4.305,3.786,0.518,295.1,2.004
2025-12-26,4.316,3.78,0.536,293.6,2.065
2025-12-29,4.307,3.77,0.537,300.8,2.04
2025-12-29,4.297,3.757,0.54,282.8,1.841
2025-12-30,4.305,3.767,0.538,290.3,1.86
2025-12-31,4.306,3.786,0.521,294.2,2.011
2026-01-01,4.294,3.783,0.511,295.9,1.845
2026-01-02,4.323,3.781,0.542,303.7,2.295
2026-01-05,4.311,3.781,0.531,300.8,1.969
2026-01-05,4.308,3.77,0.538,287.1,1.818
2026-01-06,4.328,3.786,0.542,293.4,2.082
2026-01-07,4.337,3.782,0.555,292.1,2.04
2026-01-08,4.322,3.765,0.557,290.9,2.16
2026-01-12,4.331,3.773,0.558,286.5,2.214
2026-01-12,4.337,3.773,0.563,292.6,2.17
2026-01-12,4.296,3.795,0.501,290.5,1.945
2026-01-13,4.292,3.797,0.496,281.8,2.037
2026-01-15,4.263,3.776,0.487,286.2,2.144
2026-01-16,4.253,3.761,0.492,282.1,1.966
2026-01-19,4.251,3.745,0.507,307.5,1.88
2026-01-19,4.273,3.736,0.537,298.3,1.896
2026-01-19,4.251,3.722,0.529,314.3,1.992
2026-01-21,4.259,3.716,0.544,297.4,2.059
2026-01-22,4.238,3.73,0.508,292.2,2.186
2026-01-23,4.237,3.723,0.514,296.0,1.905
2026-01-26,4.243,3.721,0.522,292.5,2.059
2026-01-26,4.226,3.705,0.521,279.2,1.847
2026-01-27,4.247,3.711,0.536,284.9,2.001
2026-01-28,4.237,3.724,0.513,293.7,1.763
2026-01-29,4.216,3.717,0.499,279.2,2.058
2026-01-30,4.213,3.708,0.504,285.0,2.066
2026-02-02,4.216,3.701,0.515,296.2,1.861
2026-02-02,4.189,3.703,0.486,283.9,1.736
2026-02-03,4.188,3.692,0.496,285.2,2.038
2026-02-04,4.214,3.721,0.493,274.4,1.939
2026-02-05,4.211,3.708,0.503,297.8,1.786
2026-02-09,4.205,3.735,0.47,288.1,1.929
2026-02-09,4.21,3.72,0.491,299.3,1.849
2026-02-09,4.203,3.713,0.49,280.2,1.876
2026-02-10,4.176,3.709,0.467,283.1,1.819
