date,open,high,low,close,volume
2025-03-31,67.64,68.28,67.4,67.79,8109666
2025-04-01,67.69,68.03,67.22,67.84,10413997
2025-04-02,67.93,68.03,67.14,67.8,15386454
2025-04-04,67.87,68.55,67.16,67.93,9000440
2025-04-07,68.61,68.61,67.8,68.33,11177161
2025-04-07,68.89,69.19,68.3,68.65,12287146
2025-04-07,69.02,68.99,68.27,68.85,9078826
2025-04-08,69.1,69.89,68.99,69.16,11941141
2025-04-10,69.21,69.96,68.72,69.4,8229638
2025-04-11,69.07,69.62,68.37,69.18,10684937
2025-04-14,68.68,69.19,68.43,68.94,9244017
2025-04-14,68.74,69.38,68.0,68.81,11353520
2025-04-15,69.04,69.65,68.33,69.07,11723170
2025-04-16,68.82,69.19,68.45,69.02,9642571
2025-04-17,70.25,70.43,69.71,70.02,16497009
2025-04-18,69.37,70.03,68.93,69.71,5000000
2025-04-21,69.5,69.69,68.93,69.31,8829525
2025-04-21,69.98,70.26,69.36,69.67,12190451
2025-04-22,70.41,70.54,69.54,70.29,12578237
2025-04-23,70.66,71.06,69.83,70.52,12192688
2025-04-24,70.61,71.45,70.56,70.88,10191984
2025-04-28,71.2,72.21,71.31,71.48,14560584
2025-04-28,71.36,72.06,71.26,71.43,12416753
2025-04-28,70.98,71.49,70.04,70.84,11030451
2025-04-29,70.7,71.32,70.38,70.63,11002738
2025-04-30,71.24,71.27,70.89,71.04,10180428
2025-05-02,70.35,70.86,69.97,70.46,14599259
2025-05-05,70.22,71.24,70.23,70.5,16133941
2025-05-05,70.58,71.36,70.28,70.63,10960361
2025-05-05,70.37,71.19,70.36,70.53,13333454
2025-05-06,71.02,71.34,70.32,70.86,8517463
2025-05-08,71.36,71.45,70.87,71.12,17301340
2025-05-09,72.17,72.41,71.56,72.09,15210434
2025-05-12,72.59,72.76,71.49,72.34,12860301
2025-05-12,72.33,72.78,71.44,72.06,13884475
2025-05-13,71.47,72.47,71.16,71.82,13202275
2025-05-14,71.65,72.13,70.96,71.47,11593111
2025-05-15,71.87,72.52,71.48,71.88,12353354
2025-05-16,71.5,71.94,71.28,71.64,10722020
2025-05-19,71.64,72.18,71.1,71.62,7567981
2025-05-19,71.78,72.32,71.58,71.94,14240582
2025-05-20,71.42,71.96,70.87,71.64,14716714
2025-05-21,71.33,72.22,70.8,71.53,14536899
2025-05-22,71.12,71.26,70.44,70.78,9582181
2025-05-23,70.18,70.58,69.66,70.37,11622708
2025-05-26,70.21,70.46,69.36,70.19,10764796
2025-05-26,70.16,70.95,70.07,70.42,20023308
2025-05-27,71.22,71.72,70.46,70.96,8981683
2025-05-28,70.67,71.44,70.27,70.99,10484378
2025-05-30,71.36,71.94,70.62,71.13,11044677
2025-06-02,70.99,71.83,70.42,71.24,12687615
2025-06-02,72.07,72.27,71.08,71.72,15752573
2025-06-02,71.92,72.7,71.82,72.12,15455816
2025-06-03,72.2,72.76,71.7,72.24,17812784
2025-06-05,71.9,72.18,71.4,71.82,5000000
2025-06-06,72.01,72.9,72.04,72.22,13068997
2025-06-09,72.08,72.65,71.65,72.39,16277674
2025-06-09,72.98,73.06,72.36,72.91,11441948
2025-06-10,72.86,73.55,72.53,72.89,14104206
2025-06-11,73.92,74.36,73.51,73.71,8880135
2025-06-12,73.56,74.36,72.96,73.53,8877860
2025-06-13,74.43,74.82,73.97,74.19,13628262
2025-06-16,74.25,74.58,73.87,74.2,12783893
2025-06-16,74.07,74.29,73.13,73.93,9771775
2025-06-17,73.1,73.92,72.89,73.41,5181075
2025-06-18,73.2,73.51,72.77,73.33,11996964
2025-06-19,73.99,74.79,73.66,73.93,13312954
2025-06-20,74.38,75.1,74.1,74.25,11894867
2025-06-23,74.62,75.22,73.97,74.51,12853280
2025-06-23,73.5,74.26,72.69,73.44,9688376
2025-06-24,73.61,73.94,73.1,73.73,9385116
2025-06-25,73.82,74.59,73.7,73.95,11142661
2025-06-27,73.73,74.53,73.41,73.69,9679510
2025-06-30,73.28,73.89,72.76,73.41,14999543
2025-06-30,73.53,73.93,73.25,73.41,11431413
2025-06-30,73.91,74.69,73.56,74.14,8742778
2025-07-01,73.44,74.27,73.34,73.66,15848869
2025-07-03,73.42,74.02,73.27,73.47,11512352
2025-07-04,73.86,74.92,73.61,74.05,10553489
2025-07-07,73.88,74.1,73.36,73.84,19795197
2025-07-07,73.39,74.49,73.13,73.67,17170358
2025-07-08,73.87,74.47,73.19,73.71,9605925
2025-07-09,72.98,73.93,73.01,73.17,11866405
2025-07-10,73.59,73.83,72.68,73.28,5838668
2025-07-11,72.98,73.54,72.1,72.77,11680686
2025-07-14,73.18,73.62,72.98,73.17,13049202
2025-07-14,73.56,73.55,72.74,73.19,9790166
2025-07-15,74.21,74.69,73.4,74.18,9860896
2025-07-16,74.16,74.84,73.74,74.29,15142329
2025-07-17,74.91,75.15,74.48,74.86,12534647
2025-07-18,74.42,74.45,73.93,74.27,17158250
2025-07-21,74.32,74.95,73.6,74.2,15627741
2025-07-21,74.33,74.85,73.47,74.33,5000000
2025-07-22,75.36,75.67,74.83,75.08,8589299
2025-07-23,74.24,74.8,73.96,74.31,13342806
2025-07-25,74.71,75.37,73.95,74.73,14676746
2025-07-28,75.23,75.64,74.56,74.97,11475488
2025-07-28,75.53,76.42,75.36,75.62,10056685
2025-07-28,75.54,76.62,75.64,75.89,16365162
2025-07-29,76.18,76.06,75.43,75.86,16971468
2025-07-31,75.68,76.06,74.75,75.58,11919587
2025-08-01,75.14,75.79,74.42,74.99,12756237
2025-08-04,74.97,75.81,74.38,75.06,11475040
2025-08-04,75.01,75.22,74.46,74.96,12483440
2025-08-04,75.91,76.03,75.57,75.82,10233686
2025-08-06,75.24,75.84,75.29,75.51,9771564
2025-08-07,75.85,75.96,74.72,75.62,12555034
2025-08-08,74.64,75.72,74.51,74.9,9420540
2025-08-11,74.65,75.3,74.29,74.71,12988988
2025-08-11,74.59,75.16,74.55,74.82,9418737
2025-08-12,75.24,75.51,74.71,75.18,14284546
2025-08-13,76.16,76.7,75.11,75.8,10689785
2025-08-14,75.93,76.32,75.35,75.74,9985317
2025-08-15,75.22,75.41,74.77,75.22,14030095
2025-08-18,75.3,76.16,74.96,75.41,10604540
2025-08-18,75.75,76.25,75.18,75.62,11200431
2025-08-19,76.12,76.6,75.38,75.81,7671491
2025-08-20,75.44,76.12,74.81,75.48,7725298
2025-08-22,76.15,76.18,75.27,75.96,9664847
2025-08-25,76.0,76.26,75.16,75.97,15631883
2025-08-25,76.06,77.1,75.97,76.25,11342348
2025-08-25,77.02,77.57,76.23,76.78,11941020
2025-08-26,76.72,77.24,76.82,77.0,9272217
2025-08-28,77.25,77.98,76.82,77.08,19783172
2025-08-29,78.21,78.76,77.33,77.98,11013886
2025-09-01,77.97,78.18,77.49,78.01,9911137
2025-09-01,78.14,78.41,77.51,77.8,8035064
2025-09-01,77.4,78.01,77.02,77.77,14876896
2025-09-03,78.03,79.24,77.6,78.37,9438988
2025-09-04,78.19,79.14,78.11,78.34,10619548
2025-09-05,78.48,79.39,77.79,78.49,12896938
2025-09-08,78.65,79.17,78.69,78.94,7718102
2025-09-08,78.54,79.34,78.4,78.6,13283673
2025-09-09,77.65,78.45,76.91,77.72,14826355
2025-09-10,77.43,78.26,77.6,77.79,14027039
2025-09-11,78.18,78.27,77.24,77.83,12844241
2025-09-12,77.86,78.18,76.98,77.49,10917944
2025-09-15,77.59,78.26,77.21,77.83,16190696
2025-09-15,78.15,78.55,77.62,78.04,16043728
2025-09-16,77.74,78.14,76.61,77.52,12062876
2025-09-17,77.92,78.3,76.83,77.71,13555193
2025-09-19,77.85,77.88,76.8,77.56,11196820
2025-09-22,77.12,77.69,75.92,76.84,13492824
2025-09-22,76.83,77.29,76.2,77.02,14015878
2025-09-22,77.18,77.13,76.05,76.96,15925670
2025-09-23,76.35,76.94,75.93,76.6,16671136
2025-09-25,76.8,77.38,76.47,76.82,13595977
2025-09-26,76.71,77.76,76.48,77.01,5000000
2025-09-29,77.01,76.92,76.41,76.73,11825516
2025-09-29,77.25,77.44,76.32,76.89,15178558
2025-09-29,77.31,77.79,76.92,77.32,13277588
2025-10-01,76.65,77.82,76.1,76.97,11140438
2025-10-02,77.16,77.49,76.68,77.12,11304262
2025-10-03,77.11,77.49,76.93,77.09,8080447
2025-10-06,78.37,78.32,77.7,78.09,13173122
2025-10-06,77.36,77.85,76.86,77.19,12716825
2025-10-07,77.44,77.81,76.81,77.48,15209078
2025-10-08,77.25,77.79,76.46,77.31,10522849
2025-10-09,76.91,77.51,77.03,77.24,9498406
2025-10-10,77.76,78.88,77.21,78.07,11614344
2025-10-13,78.08,78.62,77.55,78.03,6530737
2025-10-13,78.88,79.42,78.15,79.0,9465337
2025-10-14,79.1,79.57,78.35,78.73,7693114
2025-10-15,78.89,79.46,78.16,78.83,13017745
2025-10-16,78.81,78.87,77.68,78.54,16267412
2025-10-20,78.23,78.61,77.83,78.17,14038709
2025-10-20,78.25,79.08,77.86,78.16,6576013
2025-10-20,78.32,78.65,77.07,77.99,13133204
2025-10-21,77.9,78.35,77.66,78.05,9922063
2025-10-23,77.35,77.48,76.14,77.06,9223634
2025-10-24,77.58,78.22,77.51,77.95,10771098
2025-10-27,77.79,78.59,77.08,77.85,10440926
2025-10-27,78.66,79.33,78.28,78.61,14426405
2025-10-27,77.84,78.33,77.21,78.11,8684365
2025-10-29,78.2,78.58,77.79,78.21,8970101
2025-10-30,79.82,80.13,78.88,79.62,14401269
2025-10-31,79.13,79.52,78.73,79.14,14085501
2025-11-03,78.32,79.08,77.49,78.4,11697556
2025-11-03,77.83,78.5,77.34,78.11,11782215
2025-11-04,77.91,78.66,77.62,78.3,11965014
2025-11-05,78.59,79.05,78.2,78.59,10135426
2025-11-06,78.8,79.96,78.83,79.14,12569740
2025-11-07,79.26,79.14,78.75,78.97,11326642
2025-11-10,78.35,78.8,77.7,78.19,10709971
2025-11-10,78.2,78.14,77.29,77.97,12733737
2025-11-11,78.85,79.16,78.23,78.52,16922869
2025-11-12,78.73,79.06,78.23,78.71,15043602
2025-11-13,77.66,78.24,77.09,77.78,11092474
2025-11-17,77.77,78.31,76.92,77.76,13577935
2025-11-17,78.57,79.26,77.72,78.39,14313693
2025-11-17,79.1,79.69,78.5,79.34,6997639
2025-11-18,79.67,80.19,79.2,79.55,14282645
2025-11-20,79.85,80.19,79.29,79.64,16633355
2025-11-21,79.06,79.52,78.79,79.01,9229029
2025-11-24,78.32,79.43,78.14,78.59,8845049
2025-11-24,78.44,78.8,77.99,78.59,11842487
2025-11-24,78.76,79.36,78.1,78.8,13007867
2025-11-26,78.72,79.25,78.76,79.05,15879997
2025-11-27,78.77,79.44,78.25,78.8,7556975
2025-11-28,78.55,78.83,77.92,78.24,6804482
2025-12-01,77.87,78.55,77.21,77.89,13697742
2025-12-01,77.06,77.64,76.49,77.37,14217474
2025-12-02,77.43,78.39,77.14,77.68,10370248
2025-12-03,76.6,76.99,76.07,76.65,10254038
2025-12-04,76.48,76.99,75.85,76.55,11748736
2025-12-05,77.02,77.21,76.34,76.8,11333744
2025-12-08,77.36,77.76,77.13,77.53,11114887
2025-12-08,77.91,78.31,77.17,77.59,13889624
2025-12-09,77.94,78.67,77.23,78.06,10069076
2025-12-10,77.81,78.8,77.5,77.89,6149657
2025-12-11,77.8,77.97,76.93,77.57,8021895
2025-12-15,77.55,78.08,76.89,77.3,11678465
2025-12-15,77.96,78.59,77.59,78.02,7448780
2025-12-15,78.24,78.93,77.83,78.49,13625699
2025-12-16,78.43,79.26,77.95,78.72,19103509
2025-12-18,79.92,80.46,79.95,80.24,12744959
2025-12-19,80.05,81.05,79.25,80.18,6352815
2025-12-22,80.33,81.21,79.57,80.43,14965123
2025-12-22,80.25,81.3,80.21,80.52,16821436
2025-12-22,80.51,80.88,79.74,80.37,12254494
2025-12-24,81.37,81.8,81.04,81.41,15241517
2025-12-25,82.3,82.65,81.32,82.05,6411554
2025-12-26,81.68,81.75,81.08,81.29,13101918
2025-12-29,80.93,81.57,80.29,81.03,5000000
2025-12-29,80.88,82.0,80.85,81.17,10659050
2025-12-30,81.78,81.85,81.02,81.48,10685325
2025-12-31,80.6,81.61,80.49,80.77,11530969
2026-01-01,79.98,80.43,78.92,79.66,13934612
2026-01-02,78.72,79.66,77.99,78.76,14571565
2026-01-05,78.39,79.17,77.82,78.74,9800141
2026-01-05,78.34,79.65,78.06,78.71,11972255
2026-01-06,79.01,79.78,78.61,78.89,12419654
2026-01-07,78.7,78.93,78.26,78.55,10422492
2026-01-08,77.97,78.27,77.62,78.01,13218240
2026-01-12,77.17,77.48,76.85,77.13,12040209
2026-01-12,77.05,78.07,76.83,77.35,11397802
2026-01-12,77.81,77.77,76.97,77.58,14467211
2026-01-13,78.41,78.6,77.24,78.09,11551660
2026-01-15,78.21,79.05,77.74,78.49,11688093
2026-01-16,78.23,78.92,77.97,78.43,8162289
2026-01-19,78.75,79.32,78.91,79.09,14218889
2026-01-19,79.43,79.61,78.49,79.04,9186043
2026-01-19,79.14,79.29,78.32,78.76,11003818
2026-01-21,78.78,78.91,77.62,78.55,9264876
2026-01-22,78.5,78.97,77.98,78.32,16035374
2026-01-23,77.42,77.79,76.49,77.38,12723195
2026-01-26,77.67,78.28,76.95,77.52,10284882
2026-01-26,77.36,78.35,77.4,77.7,12543670
2026-01-27,77.38,77.99,76.71,77.61,8726074
2026-01-28,77.36,77.54,77.14,77.35,15745765
2026-01-29,77.36,77.95,77.25,77.6,11743599
2026-01-30,78.48,78.63,77.86,78.19,11238458
2026-02-02,78.19,78.44,77.76,78.0,13346410
2026-02-02,77.93,78.41,76.93,77.56,8481383
2026-02-03,77.32,77.96,76.57,77.09,12083955
2026-02-04,76.94,77.57,76.0,76.86,13654035
2026-02-05,79.16,79.44,78.14,79.03,8615153
2026-02-09,78.83,79.29,78.42,78.89,10968247
2026-02-09,77.93,78.24,77.79,78.05,9405299
2026-02-09,77.49,78.04,76.41,77.12,13122036
2026-02-10,76.68,77.09,75.81,76.45,11619023
