date,advancing,declining,new_highs,new_lows,pct_above_50dma,pct_above_200dma
2025-04-30,274,226,37,14,64.6,64.0
2025-05-02,250,250,25,18,73.5,65.6
2025-05-05,259,241,64,8,69.0,64.6
2025-05-05,272,228,45,24,74.9,71.0
2025-05-05,294,206,49,9,74.6,70.4
2025-05-06,302,198,48,5,62.8,68.8
2025-05-08,294,206,48,21,67.6,73.3
2025-05-09,299,201,51,31,74.8,69.6
2025-05-12,309,191,43,30,79.9,64.1
2025-05-12,272,228,63,21,66.4,65.5
2025-05-13,315,185,48,40,68.0,71.9
2025-05-14,333,167,18,9,69.9,66.0
2025-05-15,281,219,30,18,64.0,63.2
2025-05-16,301,199,41,29,71.1,70.0
2025-05-19,311,189,26,15,69.9,72.0
2025-05-19,308,192,36,18,69.7,63.7
2025-05-20,314,186,51,29,73.5,72.3
2025-05-21,246,254,43,5,63.7,67.8
2025-05-22,323,177,44,22,77.4,69.3
2025-05-23,269,231,19,11,69.1,62.1
2025-05-26,304,196,44,12,69.0,70.4
2025-05-26,278,222,50,12,71.4,74.1
2025-05-27,302,198,20,20,68.9,64.9
2025-05-28,263,237,34,28,72.6,73.1
2025-05-30,293,207,69,11,70.7,67.3
2025-06-02,332,168,40,9,69.7,63.8
2025-06-02,273,227,53,19,72.8,64.8
2025-06-02,327,173,37,2,64.0,62.7
2025-06-03,259,241,47,23,71.5,65.4
2025-06-05,309,191,17,15,67.7,66.0
2025-06-06,298,202,39,24,70.0,72.1
2025-06-09,284,216,49,22,69.7,68.8
2025-06-09,242,258,68,10,64.5,67.0
2025-06-10,264,236,66,13,65.1,65.0
2025-06-11,307,193,60,22,64.6,73.6
2025-06-12,304,196,29,19,69.2,69.2
2025-06-13,297,203,40,38,82.7,69.0
2025-06-16,274,226,24,28,60.4,67.6
2025-06-16,307,193,42,15,77.7,71.5
2025-06-17,286,214,51,18,65.9,66.7
2025-06-18,327,173,31,19,73.6,69.5
2025-06-19,304,196,30,43,72.6,58.8
2025-06-20,331,169,20,6,65.0,73.3
2025-06-23,292,208,43,3,73.9,67.2
2025-06-23,267,233,44,24,68.9,73.5
2025-06-24,314,186,62,19,69.0,71.8
2025-06-25,328,172,35,38,69.1,68.3
2025-06-27,311,189,27,3,78.8,72.6
2025-06-30,277,223,42,26,66.1,74.0
2025-06-30,288,212,54,13,71.0,74.5
2025-06-30,312,188,32,22,72.1,66.6
2025-07-01,291,209,66,33,65.2,63.0
2025-07-03,269,231,23,17,68.1,62.8
2025-07-04,305,195,5,21,76.5,63.4
2025-07-07,229,271,42,27,66.5,69.2
2025-07-07,334,166,65,25,62.3,69.0
2025-07-08,276,224,39,17,65.6,74.4
2025-07-09,296,204,17,23,71.9,68.5
2025-07-10,283,217,33,14,66.0,65.5
2025-07-11,297,203,19,22,64.6,71.8
2025-07-14,312,188,62,6,75.6,67.8
2025-07-14,318,182,53,29,68.8,70.1
2025-07-15,301,199,50,11,70.5,74.5
2025-07-16,353,147,56,34,71.1,72.5
2025-07-17,352,148,39,4,67.6,69.0
2025-07-18,283,217,22,15,62.3,72.0
2025-07-21,346,154,50,6,69.5,64.9
2025-07-21,311,189,27,29,72.0,67.0
2025-07-22,317,183,40,37,59.0,70.0
2025-07-23,336,164,34,15,69.4,64.6
2025-07-25,291,209,24,18,58.0,65.9
2025-07-28,319,181,34,15,73.0,74.6
2025-07-28,287,213,58,2,64.3,70.4
2025-07-28,312,188,41,28,67.5,71.4
2025-07-29,293,207,30,2,71.9,64.8
2025-07-31,331,169,55,17,68.9,69.1
2025-08-01,301,199,18,34,65.7,70.4
2025-08-04,314,186,44,22,73.1,64.8
2025-08-04,331,169,42,20,66.4,68.1
2025-08-04,321,179,22,2,67.1,71.1
2025-08-06,299,201,60,32,75.5,74.1
2025-08-07,314,186,48,13,55.1,69.9
2025-08-08,288,212,36,2,73.0,67.5
2025-08-11,293,207,22,11,64.3,64.4
2025-08-11,272,228,36,16,72.8,61.3
2025-08-12,297,203,26,23,68.2,71.7
2025-08-13,354,146,40,25,64.8,67.8
2025-08-14,309,191,72,8,67.8,68.4
2025-08-15,290,210,45,20,69.1,65.4
2025-08-18,327,173,26,16,72.7,73.9
2025-08-18,290,210,49,19,73.7,68.7
2025-08-19,352,148,62,10,66.9,65.3
2025-08-20,308,192,12,3,73.6,69.7
2025-08-22,329,171,26,9,67.5,73.8
2025-08-25,312,188,42,31,70.4,69.0
2025-08-25,321,179,37,35,68.0,65.4
2025-08-25,328,172,54,15,72.1,72.6
2025-08-26,227,273,14,24,63.8,75.0
2025-08-28,319,181,38,20,66.6,65.7
2025-08-29,314,186,55,4,69.7,66.5
2025-09-01,314,186,28,21,63.1,68.2
2025-09-01,305,195,15,24,54.4,66.8
2025-09-01,275,225,43,16,72.6,67.5
2025-09-03,307,193,56,15,68.4,74.0
2025-09-04,329,171,69,24,65.9,72.6
2025-09-05,336,164,35,25,68.1,70.3
2025-09-08,314,186,38,36,70.8,63.0
2025-09-08,318,182,35,23,69.7,69.8
2025-09-09,271,229,16,34,68.4,73.7
2025-09-10,327,173,32,3,71.1,70.4
2025-09-11,357,143,36,20,59.5,65.9
2025-09-12,320,180,34,11,75.6,74.7
2025-09-15,287,213,41,15,75.9,69.2
2025-09-15,329,171,25,33,67.0,75.8
2025-09-16,342,158,30,25,69.7,67.4
2025-09-17,334,166,39,20,65.3,65.3
2025-09-19,317,183,42,30,61.7,68.7
2025-09-22,355,145,29,9,63.9,71.5
2025-09-22,284,216,40,13,65.6,67.1
2025-09-22,306,194,34,19,69.8,66.5
2025-09-23,328,172,32,15,68.7,61.4
2025-09-25,296,204,29,9,67.3,65.4
2025-09-26,294,206,55,40,73.5,69.5
2025-09-29,345,155,44,17,69.1,67.0
2025-09-29,262,238,27,11,70.9,66.4
2025-09-29,272,228,39,22,72.3,69.8
2025-10-01,377,123,26,33,73.1,65.8
2025-10-02,314,186,28,18,66.3,66.5
2025-10-03,318,182,24,31,72.9,65.5
2025-10-06,339,161,24,2,70.1,70.5
2025-10-06,300,200,47,39,83.6,64.8
2025-10-07,327,173,21,48,66.3,71.7
2025-10-08,321,179,24,17,61.7,65.7
2025-10-09,312,188,43,2,68.2,78.5
2025-10-10,295,205,44,15,54.4,64.3
2025-10-13,302,198,52,19,67.4,71.0
2025-10-13,323,177,37,26,61.6,67.5
2025-10-14,351,149,7,12,69.3,69.2
2025-10-15,312,188,46,11,73.4,69.1
2025-10-16,366,134,52,25,75.6,65.1
2025-10-20,313,187,13,28,76.8,66.4
2025-10-20,290,210,56,12,66.0,74.5
2025-10-20,312,188,37,36,71.5,64.0
2025-10-21,359,141,13,30,71.0,66.2
2025-10-23,302,198,23,37,69.1,65.8
2025-10-24,336,164,58,23,72.0,72.1
2025-10-27,323,177,44,18,63.5,63.2
2025-10-27,333,167,29,19,67.3,72.2
2025-10-27,329,171,44,17,67.8,66.9
2025-10-29,329,171,14,19,70.3,69.9
2025-10-30,296,204,33,16,65.8,63.4
2025-10-31,296,204,40,23,69.2,64.8
2025-11-03,333,167,37,15,63.9,66.3
2025-11-03,341,159,37,18,63.5,79.5
2025-11-04,267,233,9,14,69.5,75.4
2025-11-05,337,163,44,29,69.0,60.5
2025-11-06,330,170,43,41,64.9,73.3
2025-11-07,290,210,62,21,72.7,71.1
2025-11-10,341,159,41,13,67.7,65.2
2025-11-10,322,178,15,21,73.4,73.1
2025-11-11,358,142,42,18,67.2,69.9
2025-11-12,343,157,45,6,75.4,70.2
2025-11-13,350,150,40,17,78.2,64.0
2025-11-17,283,217,69,22,66.4,66.0
2025-11-17,276,224,68,27,71.0,71.6
2025-11-17,303,197,46,30,57.5,70.7
2025-11-18,345,155,41,11,67.7,66.5
2025-11-20,336,164,32,27,65.9,66.2
2025-11-21,356,144,37,25,62.0,74.4
2025-11-24,291,209,41,17,64.7,67.2
2025-11-24,358,142,66,17,66.7,60.8
2025-11-24,370,130,24,10,69.0,71.2
2025-11-26,366,134,72,27,66.1,65.7
2025-11-27,323,177,52,29,71.6,60.7
2025-11-28,314,186,61,14,68.1,79.2
2025-12-01,326,174,61,38,72.3,66.6
2025-12-01,271,229,27,26,71.5,73.0
2025-12-02,301,199,42,2,64.1,70.4
2025-12-03,274,226,52,38,61.3,67.3
2025-12-04,372,128,47,23,69.0,62.8
2025-12-05,326,174,59,20,72.1,66.9
2025-12-08,308,192,33,9,61.7,68.2
2025-12-08,324,176,25,26,63.8,70.0
2025-12-09,343,157,64,23,72.4,68.6
2025-12-10,295,205,52,36,67.9,76.7
2025-12-11,354,146,70,18,64.1,68.5
2025-12-15,313,187,42,17,69.3,67.9
2025-12-15,307,193,32,32,68.2,62.9
2025-12-15,281,219,35,22,62.6,61.2
2025-12-16,345,155,87,28,63.5,67.8
2025-12-18,329,171,20,5,67.8,71.5
2025-12-19,338,162,29,25,71.1,64.4
2025-12-22,302,198,49,31,70.5,73.0
2025-12-22,369,131,17,24,75.1,72.8
2025-12-22,368,132,31,26,72.4,65.9
2025-12-24,338,162,20,11,70.1,72.5
2025-12-25,333,167,63,34,63.6,67.9
2025-12-26,321,179,52,27,64.5,72.0
2025-12-29,300,200,57,2,67.6,65.5
2025-12-29,351,149,43,2,61.8,66.0
2025-12-30,363,137,64,26,75.6,65.3
2025-12-31,345,155,41,9,66.7,66.9
2026-01-01,346,154,47,14,65.8,60.7
2026-01-02,347,153,38,19,71.2,66.3
2026-01-05,311,189,30,16,69.6,65.9
2026-01-05,324,176,20,15,59.8,65.7
2026-01-06,349,151,42,18,67.4,71.9
2026-01-07,306,194,46,12,69.9,67.7
2026-01-08,322,178,44,13,62.4,66.4
2026-01-12,305,195,42,13,62.2,69.8
2026-01-12,346,154,37,17,73.1,67.2
2026-01-12,343,157,22,25,67.8,70.4
2026-01-13,330,170,28,7,67.5,66.5
2026-01-15,304,196,58,30,58.3,59.7
2026-01-16,299,201,42,46,62.6,67.0
2026-01-19,371,129,32,31,73.2,68.2
2026-01-19,360,140,54,5,67.6,65.8
2026-01-19,338,162,21,10,68.8,68.3
2026-01-21,373,127,43,34,75.1,72.9
2026-01-22,250,250,28,24,61.9,66.2
2026-01-23,355,145,40,16,77.2,66.6
2026-01-26,366,134,39,20,66.7,64.9
2026-01-26,333,167,19,26,69.1,66.5
2026-01-27,359,141,24,2,70.6,62.8
2026-01-28,304,196,42,29,64.6,64.7
2026-01-29,377,123,18,28,70.6,65.4
2026-01-30,336,164,27,13,67.7,65.5
2026-02-02,299,201,50,13,72.5,67.7
2026-02-02,400,100,48,6,61.6,64.7
2026-02-03,330,170,15,8,68.6,62.0
2026-02-04,338,162,43,9,71.5,68.6
2026-02-05,368,132,49,17,67.7,70.1
2026-02-09,351,149,14,29,65.7,72.8
2026-02-09,346,154,30,19,75.7,65.3
2026-02-09,299,201,36,32,76.4,72.4
2026-02-10,289,211,36,15,67.6,63.9
